rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,15.30%,수익률,SRI,2025-07-25,2025-07-25 01:20:40
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,15.29%,수익률,SRI,2025-07-25,2025-07-25 01:20:40
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,15.29%,수익률,SRI,2025-07-25,2025-07-25 01:20:40
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,15.28%,수익률,SRI,2025-07-25,2025-07-25 01:20:40
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Ae,K55105DE9162,15.28%,수익률,SRI,2025-07-25,2025-07-25 01:20:40
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,493.54,설정액증가,SRI,2025-07-25,2025-07-25 01:20:40
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,248.24,설정액증가,SRI,2025-07-25,2025-07-25 01:20:40
3,한화코리아밸류채권증권자투자신탁(채권)종류C,KR5103890194,237.67,설정액증가,SRI,2025-07-25,2025-07-25 01:20:40
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,204.69,설정액증가,SRI,2025-07-25,2025-07-25 01:20:40
5,마이다스프레스티지책임투자채권증권투자신탁(채권)C-F,K55303DN6639,153.52,설정액증가,SRI,2025-07-25,2025-07-25 01:20:40
1,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,15.30%,수익률,ESG_주식,2025-07-25,2025-07-25 01:20:40
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,15.29%,수익률,ESG_주식,2025-07-25,2025-07-25 01:20:40
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,15.29%,수익률,ESG_주식,2025-07-25,2025-07-25 01:20:40
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,15.28%,수익률,ESG_주식,2025-07-25,2025-07-25 01:20:40
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Ae,K55105DE9162,15.28%,수익률,ESG_주식,2025-07-25,2025-07-25 01:20:40
1,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,119.76,설정액증가,ESG_주식,2025-07-25,2025-07-25 01:20:40
2,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-re),K55210DM2110,114.69,설정액증가,ESG_주식,2025-07-25,2025-07-25 01:20:40
3,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,53.83,설정액증가,ESG_주식,2025-07-25,2025-07-25 01:20:40
4,트러스톤ESG지배구조레벨업증권자투자신탁[주식]A클래스,K55363DD7875,49.50,설정액증가,ESG_주식,2025-07-25,2025-07-25 01:20:40
5,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Cp2-E클래스,K55363DD7982,49.38,설정액증가,ESG_주식,2025-07-25,2025-07-25 01:20:40
1,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassCe,K55302CE8588,1.84%,수익률,ESG_채권,2025-07-25,2025-07-25 01:20:40
2,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassAe,K55302CE8554,1.84%,수익률,ESG_채권,2025-07-25,2025-07-25 01:20:40
3,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS-P,K55302CE8422,1.81%,수익률,ESG_채권,2025-07-25,2025-07-25 01:20:40
4,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS,K55302CE8414,1.80%,수익률,ESG_채권,2025-07-25,2025-07-25 01:20:40
5,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassC-P2e,K55302CE8406,1.80%,수익률,ESG_채권,2025-07-25,2025-07-25 01:20:40
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,493.54,설정액증가,ESG_채권,2025-07-25,2025-07-25 01:20:40
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,248.24,설정액증가,ESG_채권,2025-07-25,2025-07-25 01:20:40
3,한화코리아밸류채권증권자투자신탁(채권)종류C,KR5103890194,237.67,설정액증가,ESG_채권,2025-07-25,2025-07-25 01:20:40
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,204.69,설정액증가,ESG_채권,2025-07-25,2025-07-25 01:20:40
5,마이다스프레스티지책임투자채권증권투자신탁(채권)C-F,K55303DN6639,153.52,설정액증가,ESG_채권,2025-07-25,2025-07-25 01:20:40
