rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,23.80%,수익률,SRI,2025-06-27,2025-06-27 01:17:07
2,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassCw,K55232D64529,20.81%,수익률,SRI,2025-06-27,2025-06-27 01:17:07
3,KBESG성장리더스증권자투자신탁(주식)S-퇴직,K55223DI2681,19.41%,수익률,SRI,2025-06-27,2025-06-27 01:17:07
4,KBESG성장리더스증권자투자신탁(주식)C-W,K55223C56831,19.36%,수익률,SRI,2025-06-27,2025-06-27 01:17:07
5,KBESG성장리더스증권자투자신탁(주식)S-P,K55223C56856,19.34%,수익률,SRI,2025-06-27,2025-06-27 01:17:07
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"1,128.43",설정액증가,SRI,2025-06-27,2025-06-27 01:17:07
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,399.71,설정액증가,SRI,2025-06-27,2025-06-27 01:17:07
3,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,265.00,설정액증가,SRI,2025-06-27,2025-06-27 01:17:07
4,한화코리아밸류채권증권자투자신탁(채권)종류C,KR5103890194,249.27,설정액증가,SRI,2025-06-27,2025-06-27 01:17:07
5,한화코리아밸류채권증권자투자신탁(채권)Ci-RP(퇴직연금),K55213E38984,192.42,설정액증가,SRI,2025-06-27,2025-06-27 01:17:07
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,23.80%,수익률,ESG_주식,2025-06-27,2025-06-27 01:17:07
2,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassCw,K55232D64529,20.81%,수익률,ESG_주식,2025-06-27,2025-06-27 01:17:07
3,KBESG성장리더스증권자투자신탁(주식)S-퇴직,K55223DI2681,19.41%,수익률,ESG_주식,2025-06-27,2025-06-27 01:17:07
4,KBESG성장리더스증권자투자신탁(주식)C-W,K55223C56831,19.36%,수익률,ESG_주식,2025-06-27,2025-06-27 01:17:07
5,KBESG성장리더스증권자투자신탁(주식)S-P,K55223C56856,19.34%,수익률,ESG_주식,2025-06-27,2025-06-27 01:17:07
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-re),K55210DM2110,55.19,설정액증가,ESG_주식,2025-06-27,2025-06-27 01:17:07
2,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Cp2-E클래스,K55363DD7982,34.01,설정액증가,ESG_주식,2025-06-27,2025-06-27 01:17:07
3,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Ae클래스,K55363DD7883,24.21,설정액증가,ESG_주식,2025-06-27,2025-06-27 01:17:07
4,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Ce클래스,K55363DD7909,19.78,설정액증가,ESG_주식,2025-06-27,2025-06-27 01:17:07
5,트러스톤ESG제갈공명증권투자신탁[주식]I클래스,KR5363A25848,19.43,설정액증가,ESG_주식,2025-06-27,2025-06-27 01:17:07
1,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,1.71%,수익률,ESG_채권,2025-06-27,2025-06-27 01:17:07
2,NH-Amundi글로벌회사채증권자투자신탁(H)[채권-재간접형]ClassS-P2(퇴직연금),K55232D97339,1.60%,수익률,ESG_채권,2025-06-27,2025-06-27 01:17:07
3,NH-Amundi글로벌회사채증권자투자신탁(H)[채권-재간접형]ClassS-P,K55232BJ3754,1.60%,수익률,ESG_채권,2025-06-27,2025-06-27 01:17:07
4,NH-Amundi글로벌회사채증권자투자신탁(H)[채권-재간접형]ClassS,K55232BJ3747,1.60%,수익률,ESG_채권,2025-06-27,2025-06-27 01:17:07
5,NH-Amundi글로벌회사채증권자투자신탁(H)[채권-재간접형]ClassC-P2e(퇴직연금),K55232BX7179,1.60%,수익률,ESG_채권,2025-06-27,2025-06-27 01:17:07
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"1,128.43",설정액증가,ESG_채권,2025-06-27,2025-06-27 01:17:07
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,399.71,설정액증가,ESG_채권,2025-06-27,2025-06-27 01:17:07
3,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,265.00,설정액증가,ESG_채권,2025-06-27,2025-06-27 01:17:07
4,한화코리아밸류채권증권자투자신탁(채권)종류C,KR5103890194,249.27,설정액증가,ESG_채권,2025-06-27,2025-06-27 01:17:07
5,한화코리아밸류채권증권자투자신탁(채권)Ci-RP(퇴직연금),K55213E38984,192.42,설정액증가,ESG_채권,2025-06-27,2025-06-27 01:17:07
