rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,21.27%,수익률,SRI,2025-10-17,2025-10-17 01:11:12
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,21.25%,수익률,SRI,2025-10-17,2025-10-17 01:11:12
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,21.25%,수익률,SRI,2025-10-17,2025-10-17 01:11:12
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,21.25%,수익률,SRI,2025-10-17,2025-10-17 01:11:12
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Ae,K55105DE9162,21.25%,수익률,SRI,2025-10-17,2025-10-17 01:11:12
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,890.26,설정액증가,SRI,2025-10-17,2025-10-17 01:11:12
2,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,638.00,설정액증가,SRI,2025-10-17,2025-10-17 01:11:12
3,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,399.12,설정액증가,SRI,2025-10-17,2025-10-17 01:11:12
4,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,399.00,설정액증가,SRI,2025-10-17,2025-10-17 01:11:12
5,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,162.54,설정액증가,SRI,2025-10-17,2025-10-17 01:11:12
1,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,21.27%,수익률,ESG_주식,2025-10-17,2025-10-17 01:11:12
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,21.25%,수익률,ESG_주식,2025-10-17,2025-10-17 01:11:12
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,21.25%,수익률,ESG_주식,2025-10-17,2025-10-17 01:11:12
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,21.25%,수익률,ESG_주식,2025-10-17,2025-10-17 01:11:12
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Ae,K55105DE9162,21.25%,수익률,ESG_주식,2025-10-17,2025-10-17 01:11:12
1,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,66.80,설정액증가,ESG_주식,2025-10-17,2025-10-17 01:11:12
2,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,36.36,설정액증가,ESG_주식,2025-10-17,2025-10-17 01:11:12
3,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,21.39,설정액증가,ESG_주식,2025-10-17,2025-10-17 01:11:12
4,KBESG성장리더스증권자투자신탁(주식)C,KR5223821814,18.08,설정액증가,ESG_주식,2025-10-17,2025-10-17 01:11:12
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,15.15,설정액증가,ESG_주식,2025-10-17,2025-10-17 01:11:12
1,삼성KODEX아시아달러채권ESG플러스액티브증권상장지수투자신탁[채권],K55105DR4770,3.26%,수익률,ESG_채권,2025-10-17,2025-10-17 01:11:12
2,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P2(퇴직연금),K55232D97347,3.11%,수익률,ESG_채권,2025-10-17,2025-10-17 01:11:12
3,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P,K55232BJ3861,3.11%,수익률,ESG_채권,2025-10-17,2025-10-17 01:11:12
4,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS,K55232BJ3853,3.11%,수익률,ESG_채권,2025-10-17,2025-10-17 01:11:12
5,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassC-P2e(퇴직연금),K55232BX7211,3.10%,수익률,ESG_채권,2025-10-17,2025-10-17 01:11:12
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,890.26,설정액증가,ESG_채권,2025-10-17,2025-10-17 01:11:12
2,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,638.00,설정액증가,ESG_채권,2025-10-17,2025-10-17 01:11:12
3,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,399.12,설정액증가,ESG_채권,2025-10-17,2025-10-17 01:11:12
4,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,399.00,설정액증가,ESG_채권,2025-10-17,2025-10-17 01:11:12
5,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,162.54,설정액증가,ESG_채권,2025-10-17,2025-10-17 01:11:12
