rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,iM에셋월드금융주증권투자신탁(주식-재간접형)(S),K55366C87601,126.95%,수익률,SRI,2025-06-15,2025-06-15 01:28:44
2,iM에셋월드금융주증권투자신탁(주식-재간접형)(A-e),K55366C87460,125.82%,수익률,SRI,2025-06-15,2025-06-15 01:28:44
3,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-e),K55366C87528,124.19%,수익률,SRI,2025-06-15,2025-06-15 01:28:44
4,한국밸류지속성장ESG증권자투자신탁(주식)S,K55236CB3211,114.79%,수익률,SRI,2025-06-15,2025-06-15 01:28:44
5,한국밸류지속성장ESG증권자투자신탁(주식)A-E,K55236CB3161,114.28%,수익률,SRI,2025-06-15,2025-06-15 01:28:44
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"10,256.22",설정액증가,SRI,2025-06-15,2025-06-15 01:28:44
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"7,315.87",설정액증가,SRI,2025-06-15,2025-06-15 01:28:44
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,"5,157.01",설정액증가,SRI,2025-06-15,2025-06-15 01:28:44
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A),KR5101888372,"2,297.32",설정액증가,SRI,2025-06-15,2025-06-15 01:28:44
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A-e),K55101BV9522,"2,244.74",설정액증가,SRI,2025-06-15,2025-06-15 01:28:44
1,한국밸류지속성장ESG증권자투자신탁(주식)S,K55236CB3211,114.79%,수익률,ESG_주식,2025-06-15,2025-06-15 01:28:44
2,한국밸류지속성장ESG증권자투자신탁(주식)A-E,K55236CB3161,114.28%,수익률,ESG_주식,2025-06-15,2025-06-15 01:28:44
3,한국밸류지속성장ESG증권자투자신탁(주식)C-Re,K55236CG2010,113.73%,수익률,ESG_주식,2025-06-15,2025-06-15 01:28:44
4,한국밸류지속성장ESG증권자투자신탁(주식)C-Pe,K55236CG1988,112.95%,수익률,ESG_주식,2025-06-15,2025-06-15 01:28:44
5,한국밸류지속성장ESG증권자투자신탁(주식)C-E,K55236CB3195,112.68%,수익률,ESG_주식,2025-06-15,2025-06-15 01:28:44
1,KBRISEESG사회책임투자증권상장지수투자신탁(주식),K55223C37088,963.89,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:28:44
2,마이다스책임투자증권투자신탁(주식)A1,KR5303939841,573.88,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:28:44
3,마이다스책임투자증권투자신탁(주식)C-Pe2,K55303BT4143,338.49,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:28:44
4,마이다스책임투자증권투자신탁(주식)C4,KR5303939882,289.12,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:28:44
5,마이다스책임투자증권투자신탁(주식)Ae,KR5303AP8414,233.49,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:28:44
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,20.98%,수익률,ESG_채권,2025-06-15,2025-06-15 01:28:44
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,20.79%,수익률,ESG_채권,2025-06-15,2025-06-15 01:28:44
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(S-R),K55101D18852,20.51%,수익률,ESG_채권,2025-06-15,2025-06-15 01:28:44
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(S-P),K55101CH6384,20.44%,수익률,ESG_채권,2025-06-15,2025-06-15 01:28:44
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(S),KR5101AP0944,20.38%,수익률,ESG_채권,2025-06-15,2025-06-15 01:28:44
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"10,256.22",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:28:44
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"7,315.87",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:28:44
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,"5,157.01",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:28:44
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A),KR5101888372,"2,297.32",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:28:44
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A-e),K55101BV9522,"2,244.74",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:28:44
