rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,27.90%,수익률,SRI,2025-10-31,2025-10-31 01:14:30
2,KBRISEESG사회책임투자증권상장지수투자신탁(주식),K55223C37088,23.38%,수익률,SRI,2025-10-31,2025-10-31 01:14:30
3,하나뉴딜임팩트증권자투자신탁[주식]ClassC-PE,K55102D42108,23.37%,수익률,SRI,2025-10-31,2025-10-31 01:14:30
4,하나뉴딜임팩트증권자투자신탁[주식]ClassA-E,K55102D42033,23.36%,수익률,SRI,2025-10-31,2025-10-31 01:14:30
5,하나뉴딜임팩트증권자투자신탁[주식]ClassC-E,K55102D42058,23.35%,수익률,SRI,2025-10-31,2025-10-31 01:14:30
1,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,416.00,설정액증가,SRI,2025-10-31,2025-10-31 01:14:30
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,344.82,설정액증가,SRI,2025-10-31,2025-10-31 01:14:30
3,KB스타ESG우량중단기채증권자투자신탁(채권)A-E,K55223DJ9677,141.69,설정액증가,SRI,2025-10-31,2025-10-31 01:14:30
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,120.43,설정액증가,SRI,2025-10-31,2025-10-31 01:14:30
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,103.73,설정액증가,SRI,2025-10-31,2025-10-31 01:14:30
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,27.90%,수익률,ESG_주식,2025-10-31,2025-10-31 01:14:30
2,KBRISEESG사회책임투자증권상장지수투자신탁(주식),K55223C37088,23.38%,수익률,ESG_주식,2025-10-31,2025-10-31 01:14:30
3,하나뉴딜임팩트증권자투자신탁[주식]ClassC-PE,K55102D42108,23.37%,수익률,ESG_주식,2025-10-31,2025-10-31 01:14:30
4,하나뉴딜임팩트증권자투자신탁[주식]ClassA-E,K55102D42033,23.36%,수익률,ESG_주식,2025-10-31,2025-10-31 01:14:30
5,하나뉴딜임팩트증권자투자신탁[주식]ClassC-E,K55102D42058,23.35%,수익률,ESG_주식,2025-10-31,2025-10-31 01:14:30
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,46.86,설정액증가,ESG_주식,2025-10-31,2025-10-31 01:14:30
2,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A-e),K55210DM2011,34.53,설정액증가,ESG_주식,2025-10-31,2025-10-31 01:14:30
3,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,15.98,설정액증가,ESG_주식,2025-10-31,2025-10-31 01:14:30
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cpe(퇴직연금),K55105DF1861,15.86,설정액증가,ESG_주식,2025-10-31,2025-10-31 01:14:30
5,KBESG성장리더스증권자투자신탁(주식)C,KR5223821814,15.39,설정액증가,ESG_주식,2025-10-31,2025-10-31 01:14:30
1,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P2(퇴직연금),K55232D97347,2.95%,수익률,ESG_채권,2025-10-31,2025-10-31 01:14:30
2,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P,K55232BJ3861,2.95%,수익률,ESG_채권,2025-10-31,2025-10-31 01:14:30
3,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS,K55232BJ3853,2.95%,수익률,ESG_채권,2025-10-31,2025-10-31 01:14:30
4,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassC-P2e(퇴직연금),K55232BX7211,2.94%,수익률,ESG_채권,2025-10-31,2025-10-31 01:14:30
5,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassC-P1e(연금저축),K55232BX7203,2.94%,수익률,ESG_채권,2025-10-31,2025-10-31 01:14:30
1,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,416.00,설정액증가,ESG_채권,2025-10-31,2025-10-31 01:14:30
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,344.82,설정액증가,ESG_채권,2025-10-31,2025-10-31 01:14:30
3,KB스타ESG우량중단기채증권자투자신탁(채권)A-E,K55223DJ9677,141.69,설정액증가,ESG_채권,2025-10-31,2025-10-31 01:14:30
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,120.43,설정액증가,ESG_채권,2025-10-31,2025-10-31 01:14:30
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,103.73,설정액증가,ESG_채권,2025-10-31,2025-10-31 01:14:30
