rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(S-p),K55366B29233,6.90%,수익률,SRI,2025-11-28,2025-11-28 01:12:26
2,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(S),K55366B29225,6.89%,수익률,SRI,2025-11-28,2025-11-28 01:12:26
3,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(C-Rpe),K55366BT9641,6.89%,수익률,SRI,2025-11-28,2025-11-28 01:12:26
4,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(C-Pe),K55366BT9633,6.89%,수익률,SRI,2025-11-28,2025-11-28 01:12:26
5,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(A-e),K55366B29118,6.88%,수익률,SRI,2025-11-28,2025-11-28 01:12:26
1,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,"1,278.00",설정액증가,SRI,2025-11-28,2025-11-28 01:12:26
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,401.00,설정액증가,SRI,2025-11-28,2025-11-28 01:12:26
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,377.53,설정액증가,SRI,2025-11-28,2025-11-28 01:12:26
4,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,100.00,설정액증가,SRI,2025-11-28,2025-11-28 01:12:26
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,59.98,설정액증가,SRI,2025-11-28,2025-11-28 01:12:26
1,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(S-p),K55366B29233,6.90%,수익률,ESG_주식,2025-11-28,2025-11-28 01:12:26
2,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(S),K55366B29225,6.89%,수익률,ESG_주식,2025-11-28,2025-11-28 01:12:26
3,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(C-Rpe),K55366BT9641,6.89%,수익률,ESG_주식,2025-11-28,2025-11-28 01:12:26
4,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(C-Pe),K55366BT9633,6.89%,수익률,ESG_주식,2025-11-28,2025-11-28 01:12:26
5,iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(A-e),K55366B29118,6.88%,수익률,ESG_주식,2025-11-28,2025-11-28 01:12:26
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,59.98,설정액증가,ESG_주식,2025-11-28,2025-11-28 01:12:26
2,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,37.43,설정액증가,ESG_주식,2025-11-28,2025-11-28 01:12:26
3,KBRISEESG사회책임투자증권상장지수투자신탁(주식),K55223C37088,35.51,설정액증가,ESG_주식,2025-11-28,2025-11-28 01:12:26
4,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,33.25,설정액증가,ESG_주식,2025-11-28,2025-11-28 01:12:26
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A-e),K55210DM2011,33.04,설정액증가,ESG_주식,2025-11-28,2025-11-28 01:12:26
1,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassC-F,K55302CJ6595,2.76%,수익률,ESG_채권,2025-11-28,2025-11-28 01:12:26
2,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassAe,K55302CJ6546,2.73%,수익률,ESG_채권,2025-11-28,2025-11-28 01:12:26
3,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassA,K55302CJ6538,2.71%,수익률,ESG_채권,2025-11-28,2025-11-28 01:12:26
4,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassCe,K55302CE8588,2.65%,수익률,ESG_채권,2025-11-28,2025-11-28 01:12:26
5,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassAe,K55302CE8554,2.65%,수익률,ESG_채권,2025-11-28,2025-11-28 01:12:26
1,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,"1,278.00",설정액증가,ESG_채권,2025-11-28,2025-11-28 01:12:26
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,401.00,설정액증가,ESG_채권,2025-11-28,2025-11-28 01:12:26
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,377.53,설정액증가,ESG_채권,2025-11-28,2025-11-28 01:12:26
4,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,100.00,설정액증가,ESG_채권,2025-11-28,2025-11-28 01:12:26
5,한화코리아밸류채권증권자투자신탁(채권)종류C-RP(퇴직연금),KR5213AC0142,23.87,설정액증가,ESG_채권,2025-11-28,2025-11-28 01:12:26
