rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,9.71%,수익률,SRI,2025-09-05,2025-09-05 01:09:23
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,9.69%,수익률,SRI,2025-09-05,2025-09-05 01:09:23
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,9.69%,수익률,SRI,2025-09-05,2025-09-05 01:09:23
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,9.69%,수익률,SRI,2025-09-05,2025-09-05 01:09:23
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Ae,K55105DE9162,9.68%,수익률,SRI,2025-09-05,2025-09-05 01:09:23
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,844.79",설정액증가,SRI,2025-09-05,2025-09-05 01:09:23
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"2,410.25",설정액증가,SRI,2025-09-05,2025-09-05 01:09:23
3,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,857.64,설정액증가,SRI,2025-09-05,2025-09-05 01:09:23
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,428.31,설정액증가,SRI,2025-09-05,2025-09-05 01:09:23
5,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,392.00,설정액증가,SRI,2025-09-05,2025-09-05 01:09:23
1,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,9.71%,수익률,ESG_주식,2025-09-05,2025-09-05 01:09:23
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,9.69%,수익률,ESG_주식,2025-09-05,2025-09-05 01:09:23
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,9.69%,수익률,ESG_주식,2025-09-05,2025-09-05 01:09:23
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,9.69%,수익률,ESG_주식,2025-09-05,2025-09-05 01:09:23
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Ae,K55105DE9162,9.68%,수익률,ESG_주식,2025-09-05,2025-09-05 01:09:23
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-re),K55210DM2110,45.66,설정액증가,ESG_주식,2025-09-05,2025-09-05 01:09:23
2,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,24.26,설정액증가,ESG_주식,2025-09-05,2025-09-05 01:09:23
3,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,22.49,설정액증가,ESG_주식,2025-09-05,2025-09-05 01:09:23
4,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,22.26,설정액증가,ESG_주식,2025-09-05,2025-09-05 01:09:23
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A-e),K55210DM2011,17.95,설정액증가,ESG_주식,2025-09-05,2025-09-05 01:09:23
1,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassAe,K55302CE8554,1.52%,수익률,ESG_채권,2025-09-05,2025-09-05 01:09:23
2,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassCe,K55302CE8588,1.52%,수익률,ESG_채권,2025-09-05,2025-09-05 01:09:23
3,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS-P,K55302CE8422,1.46%,수익률,ESG_채권,2025-09-05,2025-09-05 01:09:23
4,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS,K55302CE8414,1.46%,수익률,ESG_채권,2025-09-05,2025-09-05 01:09:23
5,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassC-P2e,K55302CE8406,1.46%,수익률,ESG_채권,2025-09-05,2025-09-05 01:09:23
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,844.79",설정액증가,ESG_채권,2025-09-05,2025-09-05 01:09:23
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"2,410.25",설정액증가,ESG_채권,2025-09-05,2025-09-05 01:09:23
3,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,857.64,설정액증가,ESG_채권,2025-09-05,2025-09-05 01:09:23
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,428.31,설정액증가,ESG_채권,2025-09-05,2025-09-05 01:09:23
5,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,392.00,설정액증가,ESG_채권,2025-09-05,2025-09-05 01:09:23
