rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,15.31%,수익률,SRI,2025-08-01,2025-08-01 01:40:11
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,15.30%,수익률,SRI,2025-08-01,2025-08-01 01:40:11
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,15.29%,수익률,SRI,2025-08-01,2025-08-01 01:40:11
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,15.29%,수익률,SRI,2025-08-01,2025-08-01 01:40:11
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Ae,K55105DE9162,15.29%,수익률,SRI,2025-08-01,2025-08-01 01:40:11
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"1,534.82",설정액증가,SRI,2025-08-01,2025-08-01 01:40:11
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"1,383.91",설정액증가,SRI,2025-08-01,2025-08-01 01:40:11
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,317.31,설정액증가,SRI,2025-08-01,2025-08-01 01:40:11
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,262.56,설정액증가,SRI,2025-08-01,2025-08-01 01:40:11
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,251.05,설정액증가,SRI,2025-08-01,2025-08-01 01:40:11
1,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cw,K55105DE9253,15.31%,수익률,ESG_주식,2025-08-01,2025-08-01 01:40:11
2,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P(퇴직연금),K55105DF1887,15.30%,수익률,ESG_주식,2025-08-01,2025-08-01 01:40:11
3,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S-P,K55105DF1879,15.29%,수익률,ESG_주식,2025-08-01,2025-08-01 01:40:11
4,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_S,K55105DE9261,15.29%,수익률,ESG_주식,2025-08-01,2025-08-01 01:40:11
5,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Ae,K55105DE9162,15.29%,수익률,ESG_주식,2025-08-01,2025-08-01 01:40:11
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-re),K55210DM2110,114.89,설정액증가,ESG_주식,2025-08-01,2025-08-01 01:40:11
2,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,84.06,설정액증가,ESG_주식,2025-08-01,2025-08-01 01:40:11
3,트러스톤ESG지배구조레벨업증권자투자신탁[주식]A클래스,K55363DD7875,61.64,설정액증가,ESG_주식,2025-08-01,2025-08-01 01:40:11
4,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,44.64,설정액증가,ESG_주식,2025-08-01,2025-08-01 01:40:11
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-e),K55210DM2045,40.04,설정액증가,ESG_주식,2025-08-01,2025-08-01 01:40:11
1,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassCe,K55302CE8588,3.61%,수익률,ESG_채권,2025-08-01,2025-08-01 01:40:11
2,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassAe,K55302CE8554,3.61%,수익률,ESG_채권,2025-08-01,2025-08-01 01:40:11
3,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)Class A,K55302CE8547,3.54%,수익률,ESG_채권,2025-08-01,2025-08-01 01:40:11
4,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassC-F,K55302CJ6595,3.54%,수익률,ESG_채권,2025-08-01,2025-08-01 01:40:11
5,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassAe,K55302CJ6546,3.51%,수익률,ESG_채권,2025-08-01,2025-08-01 01:40:11
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"1,534.82",설정액증가,ESG_채권,2025-08-01,2025-08-01 01:40:11
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"1,383.91",설정액증가,ESG_채권,2025-08-01,2025-08-01 01:40:11
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,317.31,설정액증가,ESG_채권,2025-08-01,2025-08-01 01:40:11
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,262.56,설정액증가,ESG_채권,2025-08-01,2025-08-01 01:40:11
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,251.05,설정액증가,ESG_채권,2025-08-01,2025-08-01 01:40:11
